PeriodStart,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily,Power
2020-01-01 00:00:00,2.1,-41,0,-1.8,0,0,0,0,0,0,6.5,75,0,1006,296,3.6,143,0.15,0
2020-01-01 01:00:00,1.9,-60,0,-1.8,0,0,0,0,0,0,6.6,76.6,0,1005.9,283,3.9,137,0.15,0
2020-01-01 02:00:00,2,-75,0,-1.6,0,0,0,0,0,0,6.6,77.3,0,1005.8,279,4.6,129,0.15,0
2020-01-01 03:00:00,2.2,-88,0,-1,0,0,0,0,0,0,6.9,79.1,0,1005.7,277,5.4,120,0.15,0
2020-01-01 04:00:00,2.3,-100,0,-0.2,0,0,0,0,0,0,7.6,83.3,0,1005.7,272,6,111,0.15,0
2020-01-01 05:00:00,2.3,-112,0,0.4,0,0,0,0,0,0,8.4,87.4,0,1005.9,270,6.2,103,0.15,0
2020-01-01 06:00:00,2.3,-123,0,0.4,0,0,0,0,0,0,9.3,87.5,0,1005.9,271,6.3,95,0.15,0
2020-01-01 07:00:00,2.5,-135,3.5,0.4,12,29,2,15,33,12,10.4,86,0,1005.5,272,6.8,89,0.15,0
2020-01-01 08:00:00,3.1,-148,39.8,0.8,52,0,0,52,47,52,11.1,85.2,0,1005.5,277,7.5,83,0.15,0.01
2020-01-01 09:00:00,3.8,-162,45.1,1.1,82,0,0,82,73,82,11,82.7,0,1005.3,279,8,79,0.15,0.271173913
2020-01-01 10:00:00,4.3,-176,57.6,1.2,76,0,0,76,69,76,9.7,80.5,0,1005.1,278,8,78,0.15,0.9753333333
2020-01-01 11:00:00,4.6,170,59.5,1.3,71,0,0,71,64,71,7.4,79.1,0,1004.9,276,8.2,78,0.15,0.9025416667
2020-01-01 12:00:00,4.6,157,51.9,1.1,63,0,0,63,56,63,5.9,78.3,0,1004.4,275,8.6,81,0.15,0.9436666667
2020-01-01 13:00:00,4.3,143,16.3,1.1,37,101,9,46,112,35,5.5,80,0,1003.8,277,8.8,85,0.15,0.986875
